# photo_energies [eV]	cross_sections [Mb]
13.4696361917641	6.476
13.605693122994	6.304
13.9501212444026	5.897
14.303270615103	5.516
14.6653589261853	5.158
15.0366174744324	4.822
15.4172639509344	4.508
15.8075568638606	4.213
16.2077275099941	3.937
16.6180343975042	3.679
17.0387224288672	3.436
17.4700501122524	3.21
17.9123167729084	2.997
18.3657673133116	2.799
18.8307010587105	2.613
19.3074037286608	2.438
19.7961610427182	2.276
20.2973131432105	2.123
20.8111321440004	1.981
21.337971793109	1.848
21.8781450214781	1.723
22.4319919714358	1.607
22.9998663910033	1.498
23.5821084225087	1.397
24.1790854196663	1.302
24.7911919475767	1.213
25.418781754261	1.13
26.0622630105131	1.053
26.7220302814333	0.9807
27.3985053435085	0.9134
28.0920963675325	0.8506
28.8032523413783	0.7919
29.5324086472258	0.7372
30.2800278786412	0.6862
31.0465726291907	0.6386
31.8325190981335	0.5943
32.6383570904222	0.5529
33.4646036223954	0.5144
34.3117621046986	0.4785
35.1803767650568	0.445
36.0709646198086	0.4138
36.9841107137584	0.3848
37.920359274631	0.3577
38.8803225586169	0.3325
39.8645856105206	0.3091
40.8737606865324	0.2872
41.9084872542292	0.2669
42.9694047811878	0.248
44.0571799463712	0.2304
45.1724930344355	0.214
46.31603793573	0.1987
47.4885357519903	0.1846
48.6907075849518	0.1714
49.9233289591225	0.1591
51.1871481876243	0.1477
52.4829544006583	0.1371
53.8115639398117	0.1272
55.1738067523653	0.1181
56.5705399969856	0.1096
58.0026344380326	0.1017
59.4709744455592	0.09431
60.9764852066979	0.08748
62.520105514274	0.08114
64.1028285838857	0.07525
65.7255932083583	0.06977
67.3894334203692	0.06469
69.0954104639821	0.05998
70.8445719775673	0.0556
72.6380200222679	0.05154
74.4768566592268	0.04776
76.3622383723594	0.04426
78.2953624626607	0.04101
80.2774126254322	0.038
82.3096541901344	0.03521
84.3933388805347	0.03261
86.5297592374797	0.03021
88.7202622245886	0.02798
90.9662220168668	0.02591
93.2690536063992	0.02399
95.6301719852704	0.02221
98.051060174031	0.02056
100.533228404618	0.01904
103.078254937432	0.01762
105.687677215798	0.01631
108.363182345662	0.01509
111.106416615893	0.01397
113.919067132437	0.01292
116.802957058173	0.01196
119.759827921821	0.01106
122.791570914725	0.01023
125.900063622535	0.009463
129.087224447983	0.008752
132.355094245036	0.008093
135.705659444891	0.007484
139.14106974706	0.00692
142.663447639672	0.006398
146.27494282224	0.005914
149.978004319525	0.005467
153.774672985497	0.005053
157.667533901848	0.00467
161.658900036409	0.004316
